"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109501","adds instrument to watchlist (from existing list)","Watchlist (iOS/Android)","2026-05-26","passed","2026-05-26","","","",""
"","","""before all"" hook for Business Cards - Admin Self-Assign Card Blocked","","2026-08-04","unknown","","","","",""
"","160351","create price alert (BMW)","Price Alerts (iOS/Android)","2026-08-17","passed","2026-08-17","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-09-16","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-07-20","unknown","","","","",""
"","51688","ABS-1.2 Fill beneficiary details and confirm review (iOS)","Add Beneficiary - Another person","2026-09-17","passed","2026-09-17","","","",""
"","14041","FX-1.3 From wallet selector shows available balance","FX Exchange","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-09-16","unknown","","","","",""
"","1","SEPA-1.3 Verify transaction on Home (Android)","Bank Transfer - SEPA Individual","2026-09-17","skipped","2026-09-17","","","",""
"","","""before all"" hook for Business Cards - Relink Card to Existing Wallet","","2026-09-02","unknown","","","","",""
"","205681","Home screen elements are visible","Home Screen - Individual","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Price Alerts (iOS/Android)","","2026-09-16","unknown","","","","",""
"","","""before all"" hook for Add Funds – Salary, Stipend or Pension","","2026-08-19","unknown","","","","",""
"","32157","O-1.1 Generate test identity, open onboarding and enter mobile number","Onboarding - account creation","2026-09-05","passed","2026-09-05","","","",""
"","14473","HM-STORY-1.6 Verify Home screen layout remains stable","Home Screen - Storyly widget","2026-09-04","passed","2026-09-04","","","",""
"","114326","adds instrument to watchlist (from existing list)","Watchlist (iOS/Android)","2026-06-09","passed","2026-06-09","","","",""
"","63019","BT-SEPA-1.2 Open SEPA payment review with configured amount (Android)","Bank Transfer - Individual - SEPA","2026-09-05","broken","2026-09-05","","","",""
"","1830","VOP-2.5 Close VOP sheet","VOP - Beneficiary Creation (Android)","2026-08-10","passed","2026-08-10","","","",""
"","276842","creates, freezes and deletes a physical card","Physical card creation, freezing and deletion - Individual","2026-08-25","passed","2026-08-25","","","",""
"","3196","PD-1.11 Verify first name saved (TC1543)","Personal Details — read-only verification (TC1535-1546)","2026-09-12","passed","2026-09-12","","","",""
"","","""before all"" hook for Bank Transfer - Individual","","2026-09-05","unknown","","","","",""
"","","""before all"" hook for Cash Funds (Mobile)","","2026-08-21","unknown","","","","",""
"","492","CB-1.7 Review Payment button is present","Cross-Border Payment - SWIFT (Android)","2026-09-04","passed","2026-09-04","","","",""
"","8731","SEARCH-1.2 Search cat and verify Carlos Cat","Home Search - Individual","2026-09-05","passed","2026-09-05","","","",""
"","71499","opens portfolio page (from Invest)","Portfolio (iOS/Android)","2026-05-22","passed","2026-05-22","","","",""
"","1","BT-SEPA-1.7 Close details and verify negative amount on Home (iOS)","Bank Transfer - Individual - SEPA","2026-09-05","skipped","2026-09-05","","","",""
"","15658","FX-1.6 [Android] EUR → GBP: exchange rate is calculated and displayed in to-amount field","FX Exchange","2026-08-11","broken","2026-08-11","","","",""
"","221019","PC-1.1 Create physical card (iOS)","Physical card creation, freezing and deletion - Individual","2026-09-17","passed","2026-09-17","","","",""
"","18982","HS-1.3 Account balance is displayed","Home Screen - Individual","2026-09-05","passed","2026-09-05","","","",""
"","28866","SWIFT-1.3 Verify transaction on Home (iOS)","Bank Transfer - SWIFT Individual","2026-09-17","passed","2026-09-17","","","",""
"","15550","AB-USD-1.5 Select country for SWIFT payment","Add Beneficiary - Another person (USD) - step by step","2026-08-25","passed","2026-08-25","","","",""
"","479","HS-1.1 Home screen loads","Home Screen - Individual","2026-09-05","passed","2026-09-05","","","",""
"","25","PC-1.11 Exercise Freeze and block the physical card (iOS)","Physical card creation and blocking - Individual","2026-09-05","skipped","2026-09-05","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-08-06","unknown","","","","",""
"","","""before all"" hook for Business identity","","2026-09-04","unknown","","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-16","unknown","","","","",""
"","374","BCF-1.5 Verify card is frozen — Unfreeze button visible","Business Cards - Freeze/UnFreeze Other User Virtual Card","2026-09-03","passed","2026-09-03","","","",""
"","838","VOP-2.1 VOP screen is displayed after submitting beneficiary details","VOP - Beneficiary Creation (Android)","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-05-26","unknown","","","","",""
"","5380","ABC-1.4 Select Physical Card type","Business Cards - Assign Physical card","2026-09-04","passed","2026-09-04","","","",""
"","22417","should open Pay tab in Business context","BT | Bank Transfer - Business","2026-02-16","broken","2026-02-16","","","",""
"","","""before all"" hook for FX Exchange","","2026-09-05","unknown","","","","",""
"","","""before all"" hook for Home Search - Individual","","2026-09-09","unknown","","","","",""
"","5167","VOP-2.5 Close VOP sheet","VOP - Beneficiary Creation (Android)","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Business Cards - Card Limit Reached (TC1745/TC1747)","","2026-08-05","unknown","","","","",""
"","16933","BCAS-1.3 Select Virtual Card type","Business Cards - Admin Self-Assign Card Blocked","2026-08-05","broken","2026-08-05","","","",""
"","13","3DS2-1.11 Verify action buttons","3DS2 Authentication","2026-07-02","skipped","2026-07-02","","","",""
"","13421","HM-STORY-1.6 Verify Home screen layout remains stable","Home Screen - Storyly widget","2026-08-19","passed","2026-08-19","","","",""
"","20203","AFBT-2.2 Open Add Funds","Add Funds - Bank Transfer - Wallet Manager","2026-08-17","passed","2026-08-17","","","",""
"","94811","HM-STORY-1.1 Login and land on Home screen","Home Screen - Storyly widget","2026-08-19","passed","2026-08-19","","","",""
"","6902","ABC-1.8 Verify new card details screen","Business Cards - Assign Physical card and lifecycle","2026-06-26","broken","2026-06-26","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-04-27","unknown","","","","",""
"","97430","PO-1.2 Find BMW and place buy order (iOS)","Orders (iOS/Android)","2026-09-17","passed","2026-09-17","","","",""
"","111623","creates BMW buy order","Orders (iOS/Android)","2026-08-25","passed","2026-08-25","","","",""
"","7222","PD-1.10 Save changes (TC1542)","Personal Details — read-only verification (TC1535-1546)","2026-09-12","passed","2026-09-12","","","",""
"","8118","AB-USD-1.8 Enter account number","Add Beneficiary - Another person (USD) - step by step","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-08-22","unknown","","","","",""
"","14899","AB-USD-1.9 Enter BIC/SWIFT code and continue","Add Beneficiary - Another person (USD) - step by step","2026-08-25","passed","2026-08-25","","","",""
"","","""before all"" hook for Price Alerts (iOS/Android)","","2026-08-18","unknown","","","","",""
"","306639","creates a new individual account through mobile verification","Onboarding - account creation","2026-08-25","passed","2026-08-25","","","",""
"","4","ATU-1.2 Set preset 500 and custom amount 1500","Auto Top-Up","2026-09-18","skipped","2026-09-18","","","",""
"","","""before all"" hook for Business Cards - Admin Self-Assign Card Blocked","","2026-08-04","unknown","","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-09-17","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","5","Android: User can open Auto Top-Up entry from Add Funds popup","Auto Top-Up","2026-03-19","skipped","2026-03-19","","","",""
"","213376","Send P2P by slide (11 EUR)","Bank Transfer - Individual","2026-09-04","passed","2026-09-04","","","",""
"","13","3DS2-1.8 Verify card section","3DS2 Authentication","2026-07-02","skipped","2026-07-02","","","",""
"","","""before all"" hook for Price Alerts (iOS/Android)","","2026-08-21","unknown","","","","",""
"","","""before all"" hook for Business Cards - Relink Card to Existing Wallet","","2026-08-03","unknown","","","","",""
"","","""before all"" hook for VOP - SEPA (Android)","","2026-09-04","unknown","","","","",""
"","12435","AB-USD-1.9 Enter BIC/SWIFT code and continue","Add Beneficiary - Another person (USD) - step by step","2026-08-19","passed","2026-08-19","","","",""
"","1163","BCF-1.7 Verify card is active again — Freeze button visible","Business Cards - Freeze/UnFreeze Other User Virtual Card","2026-08-03","passed","2026-08-03","","","",""
"","","""before all"" hook for Add Funds","","2026-09-16","unknown","","","","",""
"","","""before all"" hook for Home Search - Individual","","2026-09-17","unknown","","","","",""
"","17651","BCCL-2.1 Dismiss limit popup and return to Assign Card form","Business Cards - Card Limit Reached (TC1745/TC1747)","2026-08-25","broken","2026-08-25","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-08-22","unknown","","","","",""
"","71955","Android: User can create and delete Auto Top-Up rule (Other -> 77777)","Auto Top-Up","2026-03-19","broken","2026-03-19","","","",""
"","12806","AB-USD-1.3 Tap Add Beneficiary","Add Beneficiary - Another person (USD) - step by step","2026-09-04","passed","2026-09-04","","","",""
"","18515","FX-1.6 EUR → CHF: to-amount recalculates when destination wallet changes","FX Exchange","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Home Screen - Individual","","2026-09-05","unknown","","","","",""
"","393","BCF-1.7 Verify card is active again — Freeze button visible","Business Cards - Freeze/UnFreeze Other User Virtual Card","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Price Alerts (iOS/Android)","","2026-04-27","unknown","","","","",""
"","243688","Send SWIFT by slide (11)","Bank Transfer - Individual - SWIFT","2026-08-25","passed","2026-08-25","","","",""
"","4887","TX-1.3 Tap Show All from Recent Activity","Transactions","2026-09-04","passed","2026-09-04","","","",""
"","13942","FX-1.3 [Android] From wallet selector shows available balance after selecting EUR","FX Exchange","2026-08-13","passed","2026-08-13","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-09-02","unknown","","","","",""
"","8426","CB-1.5 Fee picker bottom sheet is shown with both options","Cross-Border Payment - SWIFT (Android)","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","13587","AB-USD-1.5 Select country for SWIFT payment","Add Beneficiary - Another person (USD) - step by step","2026-08-19","passed","2026-08-19","","","",""
"","24","SSP-1.5 Verify instruction screen shows IBAN, BIC and Bank Name fields","Add Funds – Salary, Stipend or Pension","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Business Cards - Relink Card to Existing Wallet","","2026-09-02","unknown","","","","",""
"","808","VOP-1.1 VOP sheet is displayed after Review Payment","VOP - SWIFT (Android)","2026-08-10","passed","2026-08-10","","","",""
"","","""before all"" hook for Business Cards - Relink Card to Existing Wallet","","2026-08-03","unknown","","","","",""
"","284","TX-1.5 Verify Transactions header is displayed","Transactions","2026-08-20","passed","2026-08-20","","","",""
"","97","VOP-1.2 VOP close button is present","VOP - SEPA (Android)","2026-08-10","passed","2026-08-10","","","",""
"","429","BCCL-1.5 Verify ""User Limit Reached"" for virtual cards (TC1745)","Business Cards - Card Limit Reached (TC1745/TC1747)","2026-09-03","passed","2026-09-03","","","",""
"","5624","MPP-1.3 Select Price Plan option","My Price Plan","2026-09-04","passed","2026-09-04","","","",""
"","431","MPP-1.4 Verify Price Plan page loads successfully","My Price Plan","2026-09-04","passed","2026-09-04","","","",""
"","57","3DS2-1.3 Receive push notification","3DS2 Authentication","2026-07-02","passed","2026-07-02","","","",""
"","199393","creates, modifies, and cancels BMW buy order","Orders (iOS/Android)","2026-04-30","passed","2026-04-30","","","",""
"","10417","HM-STORY-1.4 Verify Storyly widget position","Home Screen - Storyly widget","2026-09-04","passed","2026-09-04","","","",""
"","915","HS-1.11 Verify bottom navigation","Home Screen - Individual","2026-09-17","passed","2026-09-17","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-03-25","unknown","","","","",""
"","","Add beneficiary (Another person)","Add Beneficiary - Another person","2026-09-05","unknown","","","","",""
"","109403","opens portfolio page (from Invest)","Portfolio (iOS/Android)","2026-05-26","broken","2026-05-26","","","",""
"","651","HS-1.6 Verify promo banners","Home Screen - Individual","2026-09-17","passed","2026-09-17","","","",""
"","5354","SWIFT-1.2 Submit and verify success (Android)","Bank Transfer - SWIFT Individual","2026-09-17","passed","2026-09-17","","","",""
"","38035","opens 3.5% Simonds Farsons Cisk 2027 (via NEXT x2)","Portfolio (iOS/Android)","2026-08-13","passed","2026-08-13","","","",""
"","21359","ABC-1.11 Report (block) the frozen card","Business Cards - Assign Physical card and lifecycle","2026-06-26","broken","2026-06-26","","","",""
"","14754","AB-USD-1.5 Select country for SWIFT payment","Add Beneficiary - Another person (USD) - step by step","2026-09-04","passed","2026-09-04","","","",""
"","17937","FX-1.8 Complete EUR → USD exchange — transaction appears on home screen","FX Exchange","2026-08-11","broken","2026-08-11","","","",""
"","59714","BT-SWIFT-1.4 Verify SWIFT payment result (Android)","Bank Transfer - Individual - SWIFT","2026-09-05","passed","2026-09-05","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-08-25","unknown","","","","",""
"","","""before all"" hook for Portfolio (iOS)","","2026-04-23","unknown","","","","",""
"","","""before all"" hook for Bank Transfer - P2P Individual","","2026-09-16","unknown","","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-08-21","unknown","","","","",""
"","","""before all"" hook for Business Cards - Assign Physical card","","2026-09-03","unknown","","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-08-22","unknown","","","","",""
"","","""before all"" hook for Cash Funds (Mobile)","","2026-09-14","unknown","","","","",""
"","","Android: add beneficiary (Another person)","Add Beneficiary - Another person","2026-02-26","unknown","","","","",""
"","3274","BCNR-1.5 Dismiss alert","Business Cards - No-Rights User Add Card Blocked","2026-08-05","passed","2026-08-05","","","",""
"","4127","AF-1.3 Enter amount 11","Add Funds","2026-09-16","passed","2026-09-16","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-05","unknown","","","","",""
"","53206","PO-1.1 Select Individual account","Orders (iOS/Android)","2026-09-05","passed","2026-09-05","","","",""
"","11412","BCW-1.4 Select Virtual Card type","Business Cards - Create New Wallet (TC1717/TC1718/TC1719)","2026-09-02","passed","2026-09-02","","","",""
"","1005","ABC-1.12 Return to cards list","Business Cards - Assign Physical card","2026-07-22","passed","2026-07-22","","","",""
"","","""before all"" hook for Price Alerts (iOS/Android)","","2026-06-11","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-11","unknown","","","","",""
"","104913","exchanges from EUR to Dollar wallet and verifies Exchanged to USD on home","FX Exchange","2026-04-02","passed","2026-04-02","","","",""
"","22176","BCW-1.11 Verify ""Add Wallet"" dialog appears","Business Cards - Create New Wallet (TC1717/TC1718/TC1719)","2026-08-04","broken","2026-08-04","","","",""
"","","""before all"" hook for Personal Details — read-only verification (TC1535-1546)","","2026-09-08","unknown","","","","",""
"","","""before all"" hook for Bank Transfer - P2P Individual","","2026-09-16","unknown","","","","",""
"","5831","BCCL-2.1 Dismiss limit popup and return to Assign Card form","Business Cards - Card Limit Reached (TC1745/TC1747)","2026-09-03","passed","2026-09-03","","","",""
"","460","HS-1.7 Verify pending transactions","Home Screen - Individual","2026-09-17","passed","2026-09-17","","","",""
"","6128","BCW-1.11 Tap Add to submit","Business Cards - Create New Wallet (TC1717/TC1718/TC1719)","2026-09-02","passed","2026-09-02","","","",""
"","64869","Android: User can create Auto Top-Up rule and return to Home","Auto Top-Up","2026-03-19","passed","2026-03-19","","","",""
"","","User can proceed top up balance via card","Add Funds","2026-06-04","unknown","","","","",""
"","250147","Send SEPA by slide (11 EUR)","Bank Transfer - Individual - SEPA","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Cash Funds (Mobile)","","2026-09-17","unknown","","","","",""
"","","""before all"" hook for Home Search - Individual","","2026-09-18","unknown","","","","",""
"","175248","creates, modifies, and cancels BMW buy order","Orders (iOS/Android)","2026-07-14","passed","2026-07-14","","","",""
"","46693","User can open Pay tab in Business context","Bank Transfer - Business","2026-02-16","passed","2026-02-16","","","",""
"","22321","BCW-1.8 Verify New Wallet form is displayed","Business Cards - Create New Wallet (TC1717/TC1718/TC1719)","2026-08-04","broken","2026-08-04","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-03-25","unknown","","","","",""
"","9598","MPP-1.4 Verify Price Plan page loads successfully","My Price Plan","2026-08-19","broken","2026-08-19","","","",""
"","460","TX-1.7 Verify transactions are grouped by date","Transactions","2026-09-04","passed","2026-09-04","","","",""
"","1006","TX-2.4 Verify navigation to Transactions screen","Transactions","2026-09-01","passed","2026-09-01","","Business identity","",""
"","","""before all"" hook for Business Cards - Admin Self-Assign Card Blocked","","2026-08-04","unknown","","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-08-22","unknown","","","","",""
"","226500","switches between available account types","Home Account Switch","2026-06-09","passed","2026-06-09","","","",""
"","750","VOP-1.2 VOP close button is present","VOP - SEPA (Android)","2026-09-01","passed","2026-09-01","","","",""
"","4640","CB-1.5 Fee picker bottom sheet is shown with both options","Cross-Border Payment - SWIFT (Android)","2026-08-11","passed","2026-08-11","","","",""
"","","""before all"" hook for Business Cards - Admin Self-Assign Card Blocked","","2026-08-06","unknown","","","","",""
"","","""before all"" hook for Cash Funds (Mobile)","","2026-08-25","unknown","","","","",""
"","944","BCW-1.10 Enter wallet name ""AutoWallet_050385""","Business Cards - Create New Wallet (TC1717/TC1718/TC1719)","2026-09-02","passed","2026-09-02","","","",""
"","28794","ABS-1.1 Open Add Beneficiary and select Another person (iOS)","Add Beneficiary - Another person","2026-09-13","broken","2026-09-13","","","",""
"","155669","HM-STORY-1.1 Login and land on Home screen","Home Screen - Storyly widget","2026-08-19","passed","2026-08-19","","","",""
"","362","VOP-2.4 VOP close button is present","VOP - Beneficiary Creation (Android)","2026-09-04","passed","2026-09-04","","","",""
"","1703","VOP-1.2 VOP result label shows a valid result","VOP - SWIFT (Android)","2026-08-10","broken","2026-08-10","","","",""
"","163529","exchanges from EUR to Dollar wallet and verifies Exchanged to USD on home","FX Exchange","2026-07-20","passed","2026-07-20","","","",""
"","12153","opens Cash Funds from Invest -> Discover","Cash Funds (Mobile)","2026-09-04","passed","2026-09-04","","","",""
"","72432","creates a new individual account through mobile verification","Onboarding - iOS","2026-06-02","broken","2026-06-02","","","",""
"","840","BCT-2.2 Verify Manage Cards screen is displayed","Business Cards - Create and Terminate Own Virtual Card","2026-09-02","passed","2026-09-02","","","",""
"","4814","ABC-1.8 Confirm assignee address and submit","Business Cards - Assign Physical card","2026-09-04","passed","2026-09-04","","","",""
"","4188","ABC-1.7 Confirm assignee address and submit","Business Cards - Assign Physical card and lifecycle","2026-06-26","passed","2026-06-26","","","",""
"","122545","AB-USD-1.11 Confirm OTP and verify beneficiary created successfully","Add Beneficiary - Another person (USD) - step by step","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Bank Transfer - P2P Individual","","2026-09-16","unknown","","","","",""
"","64464","create and delete price alert (BMW)","Price Alerts (iOS/Android)","2026-07-20","broken","2026-07-20","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-08-06","unknown","","","","",""
"","10078","HS-1.4 Tap action buttons","Home Screen - Individual","2026-09-17","passed","2026-09-17","","","",""
"","294872","creates, modifies, and cancels BMW buy order","Orders Regression (iOS/Android)","2026-09-04","passed","2026-09-04","","","",""
"","35978","CPA-1.3 Open Price Alerts and select BMW (Android)","Price Alerts (iOS/Android)","2026-09-05","passed","2026-09-05","","","",""
"","","""before all"" hook for Business Cards - Create and Terminate Own Virtual Card","","2026-09-02","unknown","","","","",""
"","272","TX-1.2 Verify Recent Activity section is visible","Transactions","2026-08-20","passed","2026-08-20","","","",""
"","13393","VOP-1.3 Assert VOP result is Unavailable","VOP - SWIFT","2026-08-10","broken","2026-08-10","","","",""
"","4319","AF-1.2 Go to card top up","Add Funds","2026-09-17","passed","2026-09-17","","","",""
"","339620","Add beneficiary (Another person)","Add Beneficiary - Another person","2026-08-06","broken","2026-08-06","","","",""
"","","""before all"" hook for Business Cards - Assign Physical card","","2026-09-02","unknown","","","","",""
"","434","PF-1.2 Wait for Home","Portfolio (iOS/Android)","2026-09-05","passed","2026-09-05","","","",""
"","21","ABS-1.7 Complete beneficiary OTP handling (iOS)","Add Beneficiary - Another person","2026-09-05","skipped","2026-09-05","","","",""
"","","""before all"" hook for My Price Plan","","2026-06-23","unknown","","","","",""
"","172","VOP-2.3 VOP result is Unavailable","VOP - Beneficiary Creation (Android)","2026-08-10","passed","2026-08-10","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-03-26","unknown","","","","",""
"","1800","ABC-1.5 Continue with default assignee","Business Cards - Assign Physical card and lifecycle","2026-06-26","passed","2026-06-26","","","",""
"","11673","BCT-2.4 Select Virtual Card type","Business Cards - Create and Terminate Own Virtual Card","2026-09-04","passed","2026-09-04","","","",""
"","33064","FX-1.5 EUR → GBP: exchange rate is calculated and displayed in to-amount field","FX Exchange","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Business Cards - Freeze/UnFreeze Other User Virtual Card","","2026-09-01","unknown","","","","",""
"","63201","ABS-1.4 Complete beneficiary OTP handling (Android)","Add Beneficiary - Another person","2026-09-05","passed","2026-09-05","","","",""
"","278614","Create card -> success","Physical card creation - Individual","2026-06-09","broken","2026-06-09","","","",""
"","53","CPA-1.7 Open Price Alerts and select BMW (iOS)","Price Alerts (iOS/Android)","2026-09-05","skipped","2026-09-05","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","22321","BCCL-2.3 Select Self as assignee","Business Cards - Card Limit Reached (TC1745/TC1747)","2026-09-01","broken","2026-09-01","","","",""
"","","""before all"" hook for Bank Transfer - SWIFT Individual","","2026-09-16","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","103141","User can proceed to 3DS after entering card top up amount","Add Funds","2026-02-12","passed","2026-02-12","","","",""
"","","""before all"" hook for Watchlist (iOS/Android)","","2026-09-05","unknown","","","","",""
"","15345","BCCL-2.3 Select Self as assignee","Business Cards - Card Limit Reached (TC1745/TC1747)","2026-09-03","passed","2026-09-03","","","",""
"","2994","BCAS-1.2 Tap Add Card","Business Cards - Admin Self-Assign Card Blocked","2026-08-05","passed","2026-08-05","","","",""
"","54597","HM-STORY-1.7 Verify Storyly content loads successfully","Home Screen - Storyly widget","2026-08-19","broken","2026-08-19","","","",""
"","1435","BCNR-1.3 Verify no-rights blocked alert appears","Business Cards - No-Rights User Add Card Blocked","2026-09-02","passed","2026-09-02","","","",""
"","","""before all"" hook for Watchlist (iOS)","","2026-04-27","unknown","","","","",""
"","495","BCR-3.5 Verify Select Wallet sheet is displayed","Business Cards - Relink Card to Existing Wallet","2026-07-31","passed","2026-07-31","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-09-16","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","6381","HS-1.11 Spend Analytics section is visible","Home Screen - Individual","2026-09-05","passed","2026-09-05","","","",""
"","17088","CPA-1.6 Delete BMW alert and verify return to Price Alerts","Price Alerts (iOS/Android)","2026-09-05","passed","2026-09-05","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-09-16","unknown","","","","",""
"","50775","P2P-1.1 Open payment screen and fill amount (iOS)","Bank Transfer - P2P Individual","2026-09-16","broken","2026-09-16","","","",""
"","23954","ABC-1.13 Return to cards list","Business Cards - Assign Physical card","2026-09-03","broken","2026-09-03","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-17","unknown","","","","",""
"","785","BCT-2.2 Verify Manage Cards screen is displayed","Business Cards - Create and Terminate Own Virtual Card","2026-08-03","passed","2026-08-03","","","",""
"","29130","MPP-1.2 Open More tab","My Price Plan","2026-08-19","broken","2026-08-19","","","",""
