"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226874","ABS-1.3 Complete OTP and verify success (Android)","Add Beneficiary - Another person","2026-09-22","broken","2026-09-22","","","",""
"","","""before all"" hook for Add Funds","","2026-09-21","unknown","","","","",""
"","3","SEPA-1.3 Verify transaction on Home (Android)","Bank Transfer - SEPA Individual","2026-09-21","skipped","2026-09-21","","","",""
"","10262","HS-1.4 Tap action buttons","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","10411","PT-1.1 Open portfolio page from Invest (Android)","Portfolio (iOS/Android)","2026-09-22","passed","2026-09-22","","","",""
"","18353","PA-1.2 Delete price alert for BMW (Android)","Price Alerts (iOS/Android)","2026-09-21","passed","2026-09-21","","","",""
"","22976","ATU-1.2 Set preset 500 and custom amount 1500","Auto Top-Up","2026-09-21","passed","2026-09-21","","","",""
"","40539","AB-USD-1.1 Open Pay tab","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","636","HS-1.11 Verify bottom navigation","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","71497","LAUNCH-1.1 Login flow and Home Screen verification","Matrix - Smoke","2026-09-22","broken","2026-09-22","","","",""
"","350","PO-1.1 Wait for Home","Orders (iOS/Android)","2026-09-21","passed","2026-09-21","","","",""
"","9258","AB-USD-1.8 Enter account number","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","14084","AB-USD-1.7 Enter beneficiary name","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Home Screen - Individual","","2026-09-18","unknown","","","","",""
"","600012","OB-1.1 Create new individual account (Android)","Onboarding - account creation","2026-09-22","broken","2026-09-22","","","",""
"","","""before all"" hook for Add Beneficiary - Another person","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-09-18","unknown","","","","",""
"","74873","ABS-1.1 Open Add Beneficiary and select Another person (Android)","Add Beneficiary - Another person","2026-09-22","passed","2026-09-22","","","",""
"","","""before all"" hook for Cash Funds (Mobile)","","2026-09-18","unknown","","","","",""
"","17180","AB-USD-1.2 Tap New Transfer / Add button","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Add Funds","","2026-09-18","unknown","","","","",""
"","76142","ABS-1.2 Fill beneficiary details and submit (Android)","Add Beneficiary - Another person","2026-09-22","passed","2026-09-22","","","",""
"","6348","HS-1.10 Verify spend analytics","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","7395","AF-1.3 Enter amount 11","Add Funds","2026-09-21","passed","2026-09-21","","","",""
"","59789","SEPA-1.2 Review and slide to pay (Android)","Bank Transfer - SEPA Individual","2026-09-21","broken","2026-09-21","","","",""
"","136528","ATU-1.1 Open Auto Top-Up and select card and wallet","Auto Top-Up","2026-09-21","passed","2026-09-21","","","",""
"","68908","AB-USD-1.10 Enter beneficiary address and continue","Add Beneficiary - Another person (USD) - step by step","2026-09-21","broken","2026-09-21","","","",""
"","36060","HS-1.1 Verify account header","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","994","HS-1.3 Verify action buttons","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-09-18","unknown","","","","",""
"","44891","SEPA-1.1 Open payment screen and fill amount (Android)","Bank Transfer - SEPA Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-09-18","unknown","","","","",""
"","51360","SWIFT-1.3 Verify transaction on Home (Android)","Bank Transfer - SWIFT Individual","2026-09-22","passed","2026-09-22","","","",""
"","56160","SEPA-1.1 Open payment screen and fill amount (Android)","Bank Transfer - SEPA Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Add Beneficiary - Another person (USD) - step by step","","2026-09-21","unknown","","","","",""
"","290","HS-1.7 Verify pending transactions","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Home Account Switch","","2026-09-21","unknown","","","","",""
"","58296","FX-1.1 Exchange EUR to USD and verify on Home","FX Exchange","2026-09-22","passed","2026-09-22","","","",""
"","24209","PO-1.3 Find BMW and open New Buy Order (Android)","Orders (iOS/Android)","2026-09-21","passed","2026-09-21","","","",""
"","16797","AB-USD-1.3 Tap Add Beneficiary","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","4445","SWIFT-1.2 Submit and verify success (Android)","Bank Transfer - SWIFT Individual","2026-09-22","passed","2026-09-22","","","",""
"","219708","creates, modifies, and cancels BMW buy order","Orders Regression (iOS/Android)","2026-09-21","passed","2026-09-21","","","",""
"","10479","P2P-1.2 Review and slide to pay (Android)","Bank Transfer - P2P Individual","2026-09-21","passed","2026-09-21","","","",""
"","3498","P2P-1.3 Submit and verify success (Android)","Bank Transfer - P2P Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Physical card creation, freezing and deletion - Individual","","2026-09-21","unknown","","","","",""
"","50042","WL-1.1 Add first existing instrument to watchlist (Android)","Watchlist (iOS/Android)","2026-09-21","passed","2026-09-21","","","",""
"","5793","AB-USD-1.4 Select beneficiary type","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","5127","AF-1.2 Go to card top up","Add Funds","2026-09-21","passed","2026-09-21","","","",""
"","40105","CF-1.1 Freeze and unfreeze active physical card","Card freeze/unfreeze - Joint account","2026-09-21","passed","2026-09-21","","","",""
"","35759","SEPA-1.2 Review and slide to pay (Android)","Bank Transfer - SEPA Individual","2026-09-21","passed","2026-09-21","","","",""
"","48680","PA-1.1 Create price alert for BMW (Android)","Price Alerts (iOS/Android)","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Add Beneficiary - Another person","","2026-09-21","unknown","","","","",""
"","31661","SEARCH-1.1 Search ""cat"" and verify Carlos Cat","Home Search - Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Bank Transfer - P2P Individual","","2026-09-18","unknown","","","","",""
"","6176","CF-1.1 Open Cash Funds from Invest -> Discover","Cash Funds (Mobile)","2026-09-22","passed","2026-09-22","","","",""
"","56777","P2P-1.1 Open payment screen and fill amount (Android)","Bank Transfer - P2P Individual","2026-09-21","passed","2026-09-21","","","",""
"","27140","AF-1.4 Continue to 3DS","Add Funds","2026-09-21","broken","2026-09-21","","","",""
"","265","HS-1.8 Verify recent transactions","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","52674","SWIFT-1.1 Open payment screen and fill amount (Android)","Bank Transfer - SWIFT Individual","2026-09-22","passed","2026-09-22","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-22","unknown","","","","",""
"","","""before all"" hook for Bank Transfer - P2P Individual","","2026-09-18","unknown","","","","",""
"","31268","PC-1.1 Open Cards tab (Android)","Physical card creation, freezing and deletion - Individual","2026-09-22","passed","2026-09-22","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-21","unknown","","","","",""
"","","""before all"" hook for Bank Transfer - SEPA Individual","","2026-09-21","unknown","","","","",""
"","341","HS-1.5 Verify notification banner","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Physical card creation, freezing and deletion - Individual","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Cash Funds (Mobile)","","2026-09-18","unknown","","","","",""
"","14955","PO-1.4 Place BMW buy order (Android)","Orders (iOS/Android)","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Bank Transfer - P2P Individual","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Home Account Switch","","2026-09-22","unknown","","","","",""
"","","""before all"" hook for Physical card creation, freezing and deletion - Individual","","2026-09-21","unknown","","","","",""
"","22964","AB-USD-1.5 Select country for SWIFT payment","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","24428","AB-USD-1.9 Enter BIC/SWIFT code and continue","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","23699","P2P-1.4 Verify transaction on Home (Android)","Bank Transfer - P2P Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Add Funds","","2026-09-18","unknown","","","","",""
